Id,Region,Subdiv,Shape_Leng,Shape_Area
0,DEVCO,Yeoman Wood,7671.29134321000,2553744.15148000000
0,DEVCO,Windermere,4351.17588164000,785346.84088799998
0,DEVCO,Community Beach,1655.10135591000,109786.85473000001
0,DEVCO,Undeveloped,1576.03509486000,114948.68908400000
0,FCI,Lucayan Beach west,3098.91050793000,331878.07269700000
0,FCI,Lucayan Beach,2821.88253575000,377871.08879299997
0,DEVCO,Bell Channel,6242.99444384000,1690034.80290000001
0,DEVCO,Suffolk,2493.62348809000,407883.58587200003
0,DEVCO,Undeveloped,3914.98675779000,703951.36450599995
0,DEVCO,Devonshire,7453.40030818000,2510614.42955000000
0,DEVCO,Buckingham County,14048.43536310000,7586190.58937999979
0,DEVCO,Silver Bluff,12622.85929690000,6205264.19429999962
0,DEVCO,Dover Sound,6930.66226917000,1809596.17990000010
0,DEVCO,Barbary Coast,16111.97206960000,6744543.24770000018
0,DEVCO,Lucayan Glen,21463.49134980000,7789883.85084000044
0,DEVCO,Forest Green,16740.98627770000,7377969.78968000039
0,DEVCO,Fortune Cay,2663.25922009000,358953.94378300000
0,DEVCO,Fortune Beach,2450.21799817000,342421.17599399999
0,DEVCO,Fortune Point,7264.23421381000,1350895.27022000006
0,DEVCO,Heritage,5751.50183198000,1713113.28728999989
0,FCI,Harbour Area,5904.57792538000,1784565.69145999989
0,FCI,,1561.90403604000,133305.16015899999
0,FCI,Harbour Area,3402.22459072000,621614.33234199998
0,FCI,Harbour Area,2005.07969950000,92677.93210130000
0,FCI,,6725.94038972000,2255345.97966999980
0,FCI,Rand Nature Center,2831.54812497000,432264.30637100001
0,FCI,Winchester,1008.00983912000,51200.07087020000
0,FCI,Suncoral Park,1710.30469246000,156091.72688100001
0,FCI,Kingsclere Estate,2635.63034466000,233496.28786800001
0,FCI,Armander,2391.25075887000,249241.66683300000
0,FCI,Royal Bahamia,422.90911995700,10690.36419450000
0,FCI,Lucyan Ridge,2583.52400361000,336176.37384999997
0,FCI,Coral Gardens,1655.96327925000,173065.97961099999
0,FCI,Devon,3269.06006062000,645776.66547200002
0,FCI,Airport Zone,14387.96117410000,7588035.27477000002
0,FCI,Fairfield,16594.66385440000,6060531.51204000041
0,FCI,East Airport Zone,17475.29840770000,7678050.16045999993
0,FCI,Queens Cove,10177.16798100000,4432032.29712000024
0,FCI,Coral Reef,2542.03291462000,370490.22353000002
0,DEVCO,Leicester County,13878.35400170000,9398059.05685999990
0,DEVCO,Lincoln Park,13221.72523020000,4976525.56831000000
0,DEVCO,Arden Forest,6229.18593978000,2135583.98698000005
0,DEVCO,Greening Glade,5723.27982028000,1953060.05288999993
0,FCI,Silver Cove,3564.72493983000,495934.29755900003
0,DEVCO,Lucayan Knoll,2712.24383524000,396857.53275399999
0,FCI,Seahorse Village,3769.88333712000,758092.85742500005
0,FCI,Bahama Reef,6595.30804314000,1847747.85948999994
0,FCI,John Hunter,1731.04518303000,122883.08259500000
0,DEVCO,Lucaya Estate,71801.23649610000,112765691.64300000668
0,DEVCO,Cannon Bay,4189.00982035000,890148.43340700003
0,DEVCO,Surrey Bay,3193.68837400000,463196.46340700000
0,DEVCO,Pine Bay,3321.80351131000,615749.37320200005
0,DEVCO,Derby,4672.75149519000,1313660.71742999996
0,DEVCO,Caravelle Bay,3144.34792606000,543785.55106800003
0,DEVCO,Colony Bay,3311.03775045000,607594.03824699996
0,DEVCO,Bristol Bay,3155.22235083000,572907.71785500005
0,DEVCO,Shannon,3292.52740876000,685388.13839900005
0,DEVCO,Chesapeake,6949.88064551000,2809297.47824000008
0,DEVCO,Emerald Bay,5341.11439383000,1144276.57114999997
0,DEVCO,Windsor Bay,2129.02668694000,219153.02382400000
0,DEVCO,Voyager Bay,2794.34371185000,340609.58449899999
0,DEVCO,Explorer's Bay,2773.80361961000,332372.38476900000
0,DEVCO,Coral Bay,2114.92979349000,274977.59945899999
0,DEVCO,Fortune Beach,5017.56273575000,450581.20024999999
0,DEVCO,Shannon Country,6616.20760998000,2577876.15780999977
0,DEVCO,Barbary Beach,13012.25652330000,7745474.17506999988
0,DEVCO,Galleon Bay,1578.80378928000,124702.97115400000
0,FCI,East Section,6317.78578961000,1829865.06578000006
0,FCI,Hudson Estate,3638.09488566000,703067.67975699995
0,FCI,East Coral,6480.34692819000,1262917.19824999990
0,FCI,Columbus Estate,2129.12474640000,274178.04800700000
0,DEVCO,Grasmere,5980.34708965000,2084501.85592000000
0,DEVCO,Sherwood Forest,7948.34279286000,3115630.84696999984
0,DEVCO,Richmond Park,7478.57015816000,3392236.93528999994
0,FCI,Hawksbill Industrial  Area,3847.91717556000,611097.07041599997
0,FCI,Harbour Area,11877.90920450000,1382596.71365999989
0,FCI,Heavy Industrial  Area,12848.41105120000,5438249.66143999994
0,FCI,Regency,4402.63426430000,1050112.65977000003
0,FCI,Hawksbill Industrial Area,3830.44180466000,670957.81300199998
0,FCI,Civic Industrial Area,8193.69981692000,3589037.58649000013
0,FCI,Heavy Industrial Area,11199.16143140000,3395576.11375000002
0,FCI,Princess Isle,3768.41362577000,351886.04982499999
0,FCI,Bahama Terrace,4552.02407764000,958481.77217600006
0,FCI,Mosvold Estate,1916.31627955000,217280.19345900000
0,FCI,Britannia Estates,3598.04995854000,561216.05079300003
0,FCI,Imperial Park,1789.95934981000,155348.66650699999
0,FCI,Sunrise Park,4112.81922781000,854150.11846999999
0,FCI,Central Area,6436.95571381000,1556742.40394999995
0,FCI,Pinder's Estate,1565.00965169000,119086.52762900000
0,FCI,Caravel Beach,1123.99843337000,63450.18546680000
0,FCI,Bahamia South,10036.66639050000,5042637.96377000026
0,FCI,Caravel Beach,4581.59121188000,591759.68263000005
0,FCI,Hawaiian Estates,1084.76412375000,72143.02491599999
0,FCI,Caravel Beach,1568.65379377000,130615.90076400001
0,FCI,Royal Bahamia,5308.20944066000,1649207.99046000000
0,FCI,Exotica,2302.33131417000,269637.69009400002
0,FCI,Maliboo Reef,2719.46784604000,283986.75763800001
0,FCI,Sunrise,926.93050584100,54741.78093960000
0,FCI,Britannia,8254.55602126000,2142246.73555999994
0,FCI,Sunset Park,6549.89479418000,658812.42470199999
0,FCI,West Section,3296.63562201000,428610.50103300001
0,FCI,Central Area West,3574.49034909000,268375.42288899998
0,FCI,Bahamia North,5373.82313384000,1578479.70607000007
0,FCI,Poinciana Gardens,2381.83275631000,269237.98234200000
0,FCI,Mayfield Park,2352.55029456000,220965.48753700001
0,FCI,Gardens at Sunrise,2212.93269132000,281048.07640100003
0,DEVCO,Fortune Bay,5382.16135810000,1505517.72132000001
0,DEVCO,Fortune Bay,6005.63506860000,1504292.95228999993
0,FCI,Hawksbill,5521.87409936000,1437438.30062999995
0,FCI,Bahamia West,8421.11326811000,2618152.95273000002
0,DEVCO,Lincoln Green,8736.95640179000,3659336.96864000009
0,DEVCO,Sentinel Bay,3677.66363745000,623640.72466800001
0,DEVCO,Royal Palm Bay,2270.65529745000,255996.11339499999
0,DEVCO,Discovery Bay,5841.31338020000,1768943.28881000006
0,DEVCO,Pearl Bay,3166.06689111000,550060.18126099999
0,FCI,Freeport Ridge,6269.91410214000,1611330.31611000001
